"ValueCount","Name","LastWriteTime"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\DeviceDisconnect\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\DeviceDisconnect\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\DeviceFail","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\DeviceFail\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\DeviceFail\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\FaxBeep","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\FaxBeep\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\FaxBeep\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\LowBatteryAlarm","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\LowBatteryAlarm\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\LowBatteryAlarm\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MailBeep","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MailBeep\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MailBeep\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Maximize","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Maximize\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Maximize\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MenuCommand","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MenuCommand\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MenuCommand\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MenuPopup","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MenuPopup\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MenuPopup\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MessageNudge","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MessageNudge\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\MessageNudge\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Minimize","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Minimize\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Minimize\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Default","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Default\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Default\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.IM","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.IM\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.IM\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm10","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm10\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm10\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm2","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm2\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm2\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm3","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm3\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm3\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm4","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm4\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm4\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm5","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm5\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm5\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm6","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm6\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm6\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm7","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm7\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm7\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm8","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm8\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm8\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Alarm9","18/11/2018 18:58:57"
